Nepal,29136808,147181,Asia,True 
Reino Unido,67215293,242900,Europe,True 
Catar,2881060,11586,Asia,True 
Guayana Francesa,254541,83534,Americas,False 
Arabia Saudí,34813867,2149690,Asia,True 
Venezuela,28435943,916445,Americas,True 
Kuwait,4270563,17818,Asia,True 
Túnez,11818618,163610,Africa,True 
Antigua Y Barbuda,97928,442,Americas,True 
Guinea,13132792,245857,Africa,True 
India,1380004385,3287590,Asia,True 
Groenlandia,56367,2166086,Americas,False 
Islas Cocos O Islas Keeling,544,14,Oceania,False 
Macedonia Del Norte,2077132,25713,Europe,True 
Mayotte,226915,374,Africa,False 
Suiza,8654622,41284,Europe,True 
Mauritania,4649660,1030700,Africa,True 
Benín,12123198,112622,Africa,True 
Egipto,102334403,1002450,Africa,True 
Territorio Británico Del Océano Índico,3000,60,Africa,False 
Bulgaria,6927288,110879,Europe,True 
Islas Malvinas,2563,12173,Americas,False 
Tayikistán,9537642,143100,Asia,True 
Madagascar,27691019,587041,Africa,True 
Siria,17500657,185180,Asia,True 
Grecia,10715549,131990,Europe,True 
Mali,20250834,1240192,Africa,True 
Chipre,1207361,9251,Europe,True 
Islas Turks Y Caicos,38718,948,Americas,False 
Filipinas,109581085,342353,Asia,True 
Brasil,212559409,8515767,Americas,True 
Caribe Neerlandés,25987,328,Americas,False 
Jamaica,2961161,10991,Americas,True 
Trinidad Y Tobago,1399491,5130,Americas,True 
San Vicente Y Granadinas,110947,389,Americas,True 
Marruecos,36910558,446550,Africa,True 
Argelia,44700000,2381741,Africa,True 
Panamá,4314768,75417,Americas,True 
Jersey,100800,116,Europe,False 
Laos,7275556,236800,Asia,True 
Perú,32971846,1285216,Americas,True 
Ciudad Del Vaticano,451,0,Europe,True 
Israel,9216900,20770,Asia,True 
Gibraltar,33691,6,Europe,False 
Canadá,38005238,9984670,Americas,True 
República Eslovaca,5458827,49037,Europe,True 
Polinesia Francesa,280904,4167,Oceania,False 
Liechtenstein,38137,160,Europe,True 
Myanmar,54409794,676578,Asia,True 
Guam,168783,549,Oceania,False 
Sahara Occidental,510713,266000,Africa,False 
Islas Svalbard Y Jan Mayen,2562,61399,Europe,False 
Guadalupe,400132,1628,Americas,False 
Paraguay,7132530,406752,Americas,True 
Vietnam,97338583,331212,Asia,True 
Islas Pitcairn,56,47,Oceania,False 
Indonesia,273523621,1904569,Asia,True 
Gabón,2225728,267668,Africa,True 
Ghana,31072945,238533,Africa,True 
Sudáfrica,59308690,1221037,Africa,True 
Papúa Nueva Guinea,8947027,462840,Oceania,True 
Burkina Faso,20903278,272967,Africa,True 
Togo,8278737,56785,Africa,True 
Kazajistán,18754440,2724900,Asia,True 
Bahrein,1701583,765,Asia,True 
Omán,5106622,309500,Asia,True 
Afganistán,40218234,652230,Asia,True 
Emiratos Árabes Unidos,9890400,83600,Asia,True 
Belice,397621,22966,Americas,True 
Barbados,287371,430,Americas,True 
Haití,11402533,27750,Americas,True 
Iran,83992953,1648195,Asia,True 
Islas Marianas Del Norte,57557,464,Oceania,False 
Yemen,29825968,527968,Asia,True 
San Bartolomé,4255,21,Americas,False 
Italia,59554023,301336,Europe,True 
Chile,19116209,756102,Americas,True 
Brunei,437483,5765,Asia,True 
El Salvador,6486201,21041,Americas,True 
Montserrat,4922,102,Americas,False 
Camerún,26545864,475442,Africa,True 
Somalia,15893219,637657,Africa,True 
Bahamas,393248,13943,Americas,True 
Guinea-Bisáu,1967998,36125,Africa,True 
Uganda,45741000,241550,Africa,True 
Uzbekistán,34232050,447400,Asia,True 
Singapur,5685807,710,Asia,True 
Costa Rica,5094114,51100,Americas,True 
Hungría,9749763,93028,Europe,True 
San Cristóbal Y Nieves,53192,261,Americas,True 
Taiwán,23503349,36193,Asia,False 
Isla De Norfolk,2302,36,Oceania,False 
Hong Kong,7500700,1104,Asia,False 
Maldivas,540542,300,Asia,True 
Liberia,5057677,111369,Africa,True 
Islas Heard Y Mcdonald,0,412,Antarctic,False 
Tonga,105697,747,Oceania,True 
Turquía,84339067,783562,Asia,True 
Islas Salomón,686878,28896,Oceania,True 
Bermudas,63903,54,Americas,False 
Georgia,3714000,69700,Asia,True 
Colombia,50882884,1141748,Americas,True 
Malta,525285,316,Europe,True 
Azerbaiyán,10110116,86600,Asia,True 
Sudán,43849269,1886068,Africa,True 
Alandia,29458,1580,Europe,False 
Honduras,9904608,112492,Americas,True 
Pakistán,220892331,881912,Asia,True 
Reunión,840974,2511,Africa,False 
Chad,16425859,1284000,Africa,True 
Noruega,5379475,323802,Europe,True 
Eritrea,5352000,117600,Africa,True 
Nicaragua,6624554,130373,Americas,True 
Nigeria,206139587,923768,Africa,True 
Argentina,45376763,2780400,Americas,True 
Dominica,71991,751,Americas,True 
Gambia,2416664,10689,Africa,True 
Suazilandia,1160164,17364,Africa,True 
Grenada,112519,344,Americas,True 
Cuba,11326616,109884,Americas,True 
España,47351567,505992,Europe,True 
Namibia,2540916,825615,Africa,True 
Islas Faroe,48865,1393,Europe,False 
Mónaco,39244,2,Europe,True 
Australia,25687041,7692024,Oceania,True 
Rumania,19286123,238391,Europe,True 
Irlanda,4994724,70273,Europe,True 
Líbano,6825442,10452,Asia,True 
Estados Unidos,329484123,9372610,Americas,True 
Armenia,2963234,29743,Asia,True 
Islas Tokelau,1411,12,Oceania,False 
Sint Maarten,40812,34,Americas,False 
Alemania,83240525,357114,Europe,True 
Nueva Caledonia,271960,18575,Oceania,False 
Samoa,198410,2842,Oceania,True 
Bangladesh,164689383,147570,Asia,True 
Isla De Navidad,2072,135,Oceania,False 
Micronesia,115021,702,Oceania,True 
Islas Ultramarinas Menores De Estados Unidos,300,34,Americas,False 
Níger,24206636,1267000,Africa,True 
Palau,18092,459,Oceania,True 
San Marino,33938,61,Europe,True 
Aruba,106766,180,Americas,False 
Timor Oriental,1318442,14874,Asia,True 
República Dominicana,10847904,48671,Americas,True 
Francia,67391582,551695,Europe,True 
Kirguizistán,6591600,199951,Asia,True 
Bélgica,11555997,30528,Europe,True 
Islandia,366425,103000,Europe,True 
Islas Marshall,59194,181,Oceania,True 
Turkmenistán,6031187,488100,Asia,True 
Libia,6871287,1759540,Africa,True 
Tuvalu,11792,26,Oceania,True 
Ucrania,44134693,603500,Europe,True 
Camboya,16718971,181035,Asia,True 
Senegal,16743930,196722,Africa,True 
Seychelles,98462,452,Africa,True 
Lituania,2794700,65300,Europe,True 
Irak,40222503,438317,Asia,True 
Tierras Australes Y Antárticas Francesas,400,7747,Antarctic,False 
Bosnia Y Herzegovina,3280815,51209,Europe,True 
Islas Vírgenes De Los Estados Unidos,106290,347,Americas,False 
Nauru,10834,21,Oceania,True 
Kenia,53771300,580367,Africa,True 
Angola,32866268,1246700,Africa,True 
México,128932753,1964375,Americas,True 
Jordania,10203140,89342,Asia,True 
Anguilla,13452,91,Americas,False 
Islas Caimán,65720,264,Americas,False 
Nueva Zelanda,5084300,270467,Oceania,True 
Uruguay,3473727,181034,Americas,True 
Letonia,1901548,64559,Europe,True 
Etiopía,114963583,1104300,Africa,True 
Saint Martin,38659,53,Americas,False 
Botswana,2351625,582000,Africa,True 
Santo Tomé Y Príncipe,219161,964,Africa,True 
Congo,5657000,342000,Africa,True 
Comoras,869595,1862,Africa,True 
Sri Lanka,21919000,65610,Asia,True 
Corea Del Norte,25778815,120538,Asia,True 
Vanuatu,307150,12189,Oceania,True 
Tailandia,69799978,513120,Asia,True 
Islas Cook,18100,236,Oceania,False 
Chequia,10698896,78865,Europe,True 
Rusia,144104080,17098242,Europe,True 
Bielorrusia,9398861,207600,Europe,True 
Guyana,786559,214969,Americas,True 
Suecia,10353442,450295,Europe,True 
Isla De Man,85032,572,Europe,False 
Finlandia,5530719,338424,Europe,True 
Portugal,10305564,92090,Europe,True 
Burundi,11890781,27834,Africa,True 
Guernsey,62999,78,Europe,False 
Samoa Americana,55197,199,Oceania,False 
Países Bajos,16655799,41850,Europe,True 
Ecuador,17643060,276841,Americas,True 
Croacia,4047200,56594,Europe,True 
Malasia,32365998,330803,Asia,True 
Santa Lucía,183629,616,Americas,True 
Zambia,18383956,752612,Africa,True 
Ruanda,12952209,26338,Africa,True 
Martinica,378243,1128,Americas,False 
Bolivia,11673029,1098581,Americas,True 
Mauricio,1265740,2040,Africa,True 
Moldavia,2617820,33846,Europe,True 
Polonia,37950802,312679,Europe,True 
Niue,1470,260,Oceania,False 
Sierra Leone,7976985,71740,Africa,True 
Estonia,1331057,45227,Europe,True 
Sudán Del Sur,11193729,619745,Africa,True 
Malawi,19129955,118484,Africa,True 
Guinea Ecuatorial,1402985,28051,Africa,True 
Mozambique,31255435,801590,Africa,True 
Kosovo,1775378,10908,Europe,True 
Cabo Verde,555988,4033,Africa,True 
Isla Bouvet,0,49,Antarctic,False 
República Centroafricana,4829764,622984,Africa,True 
Macao,649342,30,Asia,False 
San Pedro Y Miquelón,6069,242,Americas,False 
Zimbabue,14862927,390757,Africa,True 
Wallis Y Futuna,11750,142,Oceania,False 
Mongolia,3278292,1564110,Asia,True 
Japón,125836021,377930,Asia,True 
Djibouti,988002,23200,Africa,True 
Luxemburgo,632275,2586,Europe,True 
China,1402112000,9706961,Asia,True 
Islas Georgias Del Sur Y Sandwich Del Sur,30,3903,Antarctic,False 
Tanzania,59734213,945087,Africa,True 
Fiyi,896444,18272,Oceania,True 
Montenegro,621718,13812,Europe,True 
Curazao,155014,444,Americas,False 
Bután,771612,38394,Asia,True 
Santa Elena, Ascensión Y Tristán De Acuña,53192,394,Africa,False 
Albania,2837743,28748,Europe,True 
Austria,8917205,83871,Europe,True 
Corea Del Sur,51780579,100210,Asia,True 
Surinam,586634,163820,Americas,True 
Eslovenia,2100126,20273,Europe,True 
Dinamarca,5831404,43094,Europe,True 
Lesotho,2142252,30355,Africa,True 
Kiribati,119446,811,Oceania,True 
Serbia,6908224,88361,Europe,True 
Islas Vírgenes Del Reino Unido,30237,151,Americas,False 
Guatemala,16858333,108889,Americas,True 
Congo (Rep. Dem.),108407721,2344858,Africa,True 
Puerto Rico,3194034,8870,Americas,False 
Palestina,4803269,6220,Asia,False 
Andorra,77265,468,Europe,True 
Antártida,1000,14000000,Antarctic,False 
Costa De Marfil,26378275,322463,Africa,True 
